"distance","avg_fare"
"63.0","352.65"
"63.1","38.5"
"63.2","59.93666666666667"
"63.3","121.83399999999999"
"63.5","310.0"
"63.7","318.35"
"63.8","422.3"
"63.9","400.6"
"64.1","390.45"
"64.2","250.0"
"64.4","296.3925"
"64.5","348.1"
"64.6","0.0"
"64.7","301.2"
"64.8","231.2"
"64.9","200.04999999999998"
"65.2","390.1"
"65.4","335.875"
"65.5","5.0"
"65.6","409.7"
"65.8","84.43333333333334"
"65.9","334.1"
"66.1","801.7"
"66.3","324.95"
"66.5","209.785"
"66.6","436.55"
"66.7","7.833333333333333"
"66.8","8.236666666666666"
"67.0","404.8"
"67.2","430.0"
"67.3","364.9"
"67.4","148.05"
"67.8","0.0"
"68.0","150.0"
"68.2","54.1"
"68.4","215.73"
"68.5","257.15"
"68.6","397.1"
"68.7","419.15"
"68.9","250.0"
"69.0","292.8"
"69.1","308.1275"
"69.2","366.3"
"69.8","0.0"
"69.9","225.905"
"70.0","266.8"
"70.2","375.0"
"70.4","165.0"
"70.6","417.4"
"70.8","221.28"
"71.3","439.8"
"71.5","402.7"
"71.6","328.5"
"71.7","299.99"
"71.8","300.0"
"71.9","411.1"
"72.1","0.0"
"72.2","137.96666666666667"
"72.4","444.7"
"72.6","465.7"
"72.7","324.3"
"73.3","0.0"
"73.6","0.0"
"73.7","138.9"
"73.9","272.49333333333334"
"74.3","425.1"
"75.1","429.7"
"75.4","280.16"
"75.9","373.05"
"76.3","461.5"
"76.4","418.1"
"76.9","457.3"
"77.1","32.5"
"77.4","275.5"
"77.9","420.54999999999995"
"78.7","0.0"
"79.7","349.0"
"80.9","461.5"
"81.3","459.4"
"81.6","0.0"
"81.8","251.11499999999998"
"82.7","451.0"
"83.0","292.66"
"83.4","326.15"
"83.5","400.0"
"83.8","300.0"
"84.1","245.0"
"84.6","466.4"
"86.5","342.08500000000004"
"86.8","613.34"
"87.3","323.39"
"87.5","287.0"
"87.6","346.4"
"88.4","0.0"
"89.4","522.4"
"89.5","230.0"
"89.8","190.0"
"90.2","230.0"
"90.6","27.89"
"91.4","560.2"
"92.8","630.55"
"92.9","598.0"
"93.1","369.8"
"93.3","536.4"
"93.7","300.0"
"94.3","275.0"
"94.8","20.5"
"95.1","39.5"
"95.4","569.3"
"95.6","634.4"
"96.6","350.0"
"97.8","545.5"
"98.6","0.0"
"99.0","550.0"
"99.5","283.64"
"99.9","601.5"
"100.4","12.8"
"101.7","0.0"
"101.9","19.5"
"103.6","0.0"
"103.7","623.9"
"104.1","311.4"
"105.5","0.0"
"106.1","660.3"
"106.3","364.2"
"106.7","70.0"
"107.2","438.4"
"107.4","500.0"
"109.5","430.0"
"109.8","349.0"
"110.1","300.0"
"112.5","689.7"
"112.9","346.65"
"114.0","500.0"
"114.5","460.8333333333333"
"116.1","380.0"
"116.5","2.223333333333333"
"120.3","786.3"
"121.2","837.4"
"121.7","762.5"
"122.2","400.0"
"123.2","797.5"
"127.1","405.19"
"128.1","899.0"
"138.5","0.0"
"142.9","0.0"
"143.0","300.0"
"144.4","15.17"
"149.9","510.29"
"151.6","36.5"
"157.3","26.5"
"173.7","389.8"
"178.4","530.8"
"192.8","33.5"
"223.6","25.5"
"235.5","550.0"
"257.2","490.0"
"296.0","10.7"
"3687.5","17.42"
"7770.1","17.84"
"8301.2","10.0"
"13735.1","30.69"
"15803.5","67.26"
"16338.5","35.2"
"18096.6","13.91"
"18543.1","11.12"
"18779.1","9.26"
"19310.3","31.14"
"20208.7","18.19"
"20302.1","25.72"
"26556.1","13.13"
"28172.2","24.97"
"28468.8","42.53"
"29748.4","8.98"
"32455.6","25.83"
"33761.5","23.03"
"34816.2","31.68"
"36430.9","31.02"
"36610.3","105.27"
"36945.5","29.52"
"37449.8","30.0"
"38266.6","5.88"
"38700.2","24.04"
"38937.4","24.41"
"40357.8","44.67"
"45947.7","13.2"
"50837.6","13.72"
"59989.5","17.86"
"75501.8","17.22"
"77092.0","12.06"
"79836.0","33.73"
"79989.2","29.2"
"81353.6","7.87"
"83414.2","10.64"
"83474.1","65.74"
"84598.7","51.52"
"85187.7","39.06"
"85638.6","27.2"
"86449.6","35.6"
"86500.6","19.77"
"87224.9","29.11"
"88381.9","10.27"
"93929.5","31.62"
"95498.1","38.83"
"96315.7","38.08"
"98090.1","15.19"
"98518.7","21.0"
"98773.6","7.1"
"100567.6","19.69"
"101071.2","21.42"
"101485.7","15.05"
"103028.3","37.93"
"103770.0","23.52"
"104197.3","15.44"
"105203.4","33.14"
"106608.2","24.21"
"106775.9","23.96"
"106861.9","20.3"
"107170.2","34.2"
"107969.2","19.21"
"108930.7","19.22"
"116656.9","18.24"
"116681.4","35.96"
"117061.6","35.64"
"117979.6","33.58"
"118200.0","30.34"
"119355.4","18.78"
"120061.8","40.94"
"121092.5","25.18"
"122434.1","56.64"
"125373.7","17.2"
"125428.1","50.94"
"126724.6","32.51"
"127257.1","29.77"
"128287.0","10.27"
"135361.0","11.94"
"136000.3","35.2"
"136722.1","10.19"
"136778.7","12.27"
"142185.6","31.28"
"143301.5","37.36"
"143441.6","42.03"
"144477.7","30.29"
"144793.1","46.97"
"145291.3","38.73"
"145336.9","36.88"
"146578.1","15.19"
"146814.3","20.9"
"146983.8","9.2"
"149596.9","13.58"
"153394.7","23.01"
"155023.9","41.19"
